minTotal value	# of included sequences	% of included sequences
623	7	0.00197
624	7	0.00197
625	6	0.00169
626	6	0.00169
627	6	0.00169
628	6	0.00169
629	6	0.00169
630	6	0.00169
631	6	0.00169
632	6	0.00169
633	6	0.00169
634	6	0.00169
635	6	0.00169
636	6	0.00169
637	6	0.00169
638	6	0.00169
639	6	0.00169
640	6	0.00169
641	6	0.00169
642	6	0.00169
643	6	0.00169
644	6	0.00169
645	6	0.00169
646	6	0.00169
647	6	0.00169
648	6	0.00169
649	6	0.00169
650	6	0.00169
651	6	0.00169
652	6	0.00169
653	6	0.00169
654	6	0.00169
655	6	0.00169
656	6	0.00169
657	6	0.00169
658	6	0.00169
659	6	0.00169
660	6	0.00169
661	6	0.00169
662	6	0.00169
663	6	0.00169
664	6	0.00169
665	6	0.00169
666	6	0.00169
667	6	0.00169
668	6	0.00169
669	6	0.00169
670	6	0.00169
671	6	0.00169
672	6	0.00169
673	6	0.00169
674	6	0.00169
675	6	0.00169
676	6	0.00169
677	6	0.00169
678	6	0.00169
679	6	0.00169
680	6	0.00169
681	6	0.00169
682	6	0.00169
683	6	0.00169
684	6	0.00169
685	6	0.00169
686	6	0.00169
687	6	0.00169
688	6	0.00169
689	6	0.00169
690	6	0.00169
691	6	0.00169
692	6	0.00169
693	5	0.00141
694	5	0.00141
695	5	0.00141
696	5	0.00141
697	5	0.00141
698	5	0.00141
699	5	0.00141
700	5	0.00141
701	5	0.00141
702	5	0.00141
703	5	0.00141
704	5	0.00141
705	5	0.00141
706	5	0.00141
707	5	0.00141
708	5	0.00141
709	5	0.00141
710	5	0.00141
711	5	0.00141
712	5	0.00141
713	5	0.00141
714	5	0.00141
715	5	0.00141
716	5	0.00141
717	5	0.00141
718	5	0.00141
719	5	0.00141
720	5	0.00141
721	5	0.00141
722	5	0.00141
723	5	0.00141
724	5	0.00141
725	5	0.00141
726	5	0.00141
727	5	0.00141
728	5	0.00141
729	5	0.00141
730	5	0.00141
731	5	0.00141
732	5	0.00141
733	5	0.00141
734	5	0.00141
735	5	0.00141
736	5	0.00141
737	5	0.00141
738	5	0.00141
739	5	0.00141
740	5	0.00141
741	5	0.00141
742	5	0.00141
743	5	0.00141
744	5	0.00141
745	5	0.00141
746	5	0.00141
747	5	0.00141
748	5	0.00141
749	5	0.00141
750	5	0.00141
751	5	0.00141
752	5	0.00141
753	5	0.00141
754	5	0.00141
755	5	0.00141
756	5	0.00141
757	5	0.00141
758	5	0.00141
759	5	0.00141
760	5	0.00141
761	5	0.00141
762	5	0.00141
763	5	0.00141
764	5	0.00141
765	5	0.00141
766	5	0.00141
767	5	0.00141
768	5	0.00141
769	5	0.00141
770	5	0.00141
771	5	0.00141
772	5	0.00141
773	5	0.00141
774	5	0.00141
775	5	0.00141
776	5	0.00141
777	5	0.00141
778	5	0.00141
779	5	0.00141
780	5	0.00141
781	5	0.00141
782	5	0.00141
783	5	0.00141
784	5	0.00141
785	5	0.00141
786	5	0.00141
787	5	0.00141
788	5	0.00141
789	5	0.00141
790	5	0.00141
791	5	0.00141
792	5	0.00141
793	5	0.00141
794	5	0.00141
795	5	0.00141
796	5	0.00141
797	5	0.00141
798	5	0.00141
799	5	0.00141
800	5	0.00141
801	5	0.00141
802	5	0.00141
803	5	0.00141
804	5	0.00141
805	5	0.00141
806	5	0.00141
807	5	0.00141
808	5	0.00141
809	5	0.00141
810	5	0.00141
811	5	0.00141
812	5	0.00141
813	5	0.00141
814	5	0.00141
815	5	0.00141
816	5	0.00141
817	5	0.00141
818	5	0.00141
819	5	0.00141
820	5	0.00141
821	5	0.00141
822	5	0.00141
823	5	0.00141
824	5	0.00141
825	5	0.00141
826	5	0.00141
827	5	0.00141
828	5	0.00141
829	5	0.00141
830	5	0.00141
831	5	0.00141
832	5	0.00141
833	5	0.00141
834	5	0.00141
835	5	0.00141
836	5	0.00141
837	5	0.00141
838	5	0.00141
839	5	0.00141
840	5	0.00141
841	5	0.00141
842	5	0.00141
843	5	0.00141
844	5	0.00141
845	5	0.00141
846	5	0.00141
847	5	0.00141
848	5	0.00141
849	5	0.00141
850	5	0.00141
851	5	0.00141
852	5	0.00141
853	5	0.00141
854	5	0.00141
855	5	0.00141
856	5	0.00141
857	5	0.00141
858	5	0.00141
859	5	0.00141
860	5	0.00141
861	5	0.00141
862	5	0.00141
863	5	0.00141
864	5	0.00141
865	5	0.00141
866	5	0.00141
867	5	0.00141
868	5	0.00141
869	5	0.00141
870	5	0.00141
871	5	0.00141
872	5	0.00141
873	5	0.00141
874	5	0.00141
875	5	0.00141
876	5	0.00141
877	5	0.00141
878	5	0.00141
879	5	0.00141
880	5	0.00141
881	5	0.00141
882	4	0.00113
883	4	0.00113
884	4	0.00113
885	4	0.00113
886	4	0.00113
887	4	0.00113
888	4	0.00113
889	4	0.00113
890	4	0.00113
891	4	0.00113
892	4	0.00113
893	4	0.00113
894	4	0.00113
895	4	0.00113
896	4	0.00113
897	4	0.00113
898	4	0.00113
899	4	0.00113
900	4	0.00113
901	4	0.00113
902	4	0.00113
903	4	0.00113
904	4	0.00113
905	4	0.00113
906	4	0.00113
907	4	0.00113
908	4	0.00113
909	4	0.00113
910	4	0.00113
911	4	0.00113
912	4	0.00113
913	4	0.00113
914	4	0.00113
915	4	0.00113
916	4	0.00113
917	4	0.00113
918	4	0.00113
919	4	0.00113
920	4	0.00113
921	4	0.00113
922	4	0.00113
923	4	0.00113
924	4	0.00113
925	4	0.00113
926	4	0.00113
927	4	0.00113
928	4	0.00113
929	4	0.00113
930	4	0.00113
931	4	0.00113
932	4	0.00113
933	4	0.00113
934	4	0.00113
935	4	0.00113
936	4	0.00113
937	4	0.00113
938	4	0.00113
939	4	0.00113
940	4	0.00113
941	4	0.00113
942	4	0.00113
943	4	0.00113
944	4	0.00113
945	4	0.00113
946	4	0.00113
947	4	0.00113
948	4	0.00113
949	4	0.00113
950	4	0.00113
951	4	0.00113
952	4	0.00113
953	4	0.00113
954	4	0.00113
955	4	0.00113
956	4	0.00113
957	4	0.00113
958	4	0.00113
959	4	0.00113
960	4	0.00113
961	4	0.00113
962	4	0.00113
963	4	0.00113
964	4	0.00113
965	4	0.00113
966	4	0.00113
967	4	0.00113
968	4	0.00113
969	4	0.00113
970	4	0.00113
971	4	0.00113
972	4	0.00113
973	4	0.00113
974	4	0.00113
975	4	0.00113
976	4	0.00113
977	4	0.00113
978	4	0.00113
979	4	0.00113
980	4	0.00113
981	4	0.00113
982	4	0.00113
983	4	0.00113
984	4	0.00113
985	4	0.00113
986	4	0.00113
987	4	0.00113
988	4	0.00113
989	4	0.00113
990	4	0.00113
991	4	0.00113
992	4	0.00113
993	4	0.00113
994	4	0.00113
995	4	0.00113
996	4	0.00113
997	4	0.00113
998	4	0.00113
999	4	0.00113
1000	4	0.00113
1001	4	0.00113
1002	4	0.00113
1003	4	0.00113
1004	4	0.00113
1005	4	0.00113
1006	4	0.00113
1007	4	0.00113
1008	4	0.00113
1009	4	0.00113
1010	4	0.00113
1011	4	0.00113
1012	4	0.00113
1013	4	0.00113
1014	4	0.00113
1015	4	0.00113
1016	4	0.00113
1017	4	0.00113
1018	4	0.00113
1019	4	0.00113
1020	4	0.00113
1021	4	0.00113
1022	4	0.00113
1023	4	0.00113
1024	4	0.00113
1025	4	0.00113
1026	4	0.00113
1027	4	0.00113
1028	4	0.00113
1029	4	0.00113
1030	4	0.00113
1031	4	0.00113
1032	4	0.00113
1033	4	0.00113
1034	4	0.00113
1035	4	0.00113
1036	4	0.00113
1037	4	0.00113
1038	4	0.00113
1039	4	0.00113
1040	4	0.00113
1041	4	0.00113
1042	4	0.00113
1043	4	0.00113
1044	4	0.00113
1045	4	0.00113
1046	4	0.00113
1047	4	0.00113
1048	4	0.00113
1049	4	0.00113
1050	4	0.00113
1051	4	0.00113
1052	4	0.00113
1053	4	0.00113
1054	4	0.00113
1055	4	0.00113
1056	4	0.00113
1057	4	0.00113
1058	4	0.00113
1059	4	0.00113
1060	4	0.00113
1061	4	0.00113
1062	4	0.00113
1063	4	0.00113
1064	4	0.00113
1065	4	0.00113
1066	4	0.00113
1067	4	0.00113
1068	4	0.00113
1069	4	0.00113
1070	4	0.00113
1071	4	0.00113
1072	4	0.00113
1073	4	0.00113
1074	4	0.00113
1075	4	0.00113
1076	4	0.00113
1077	4	0.00113
1078	4	0.00113
1079	4	0.00113
1080	4	0.00113
1081	4	0.00113
1082	4	0.00113
1083	4	0.00113
1084	4	0.00113
1085	4	0.00113
1086	4	0.00113
1087	4	0.00113
1088	4	0.00113
1089	4	0.00113
1090	4	0.00113
1091	4	0.00113
1092	4	0.00113
1093	4	0.00113
1094	4	0.00113
1095	4	0.00113
1096	4	0.00113
1097	4	0.00113
1098	4	0.00113
1099	4	0.00113
1100	4	0.00113
1101	4	0.00113
1102	4	0.00113
1103	4	0.00113
1104	4	0.00113
1105	4	0.00113
1106	4	0.00113
1107	4	0.00113
1108	4	0.00113
1109	4	0.00113
1110	4	0.00113
1111	4	0.00113
1112	4	0.00113
1113	4	0.00113
1114	4	0.00113
1115	4	0.00113
1116	4	0.00113
1117	4	0.00113
1118	4	0.00113
1119	4	0.00113
1120	4	0.00113
1121	4	0.00113
1122	4	0.00113
1123	4	0.00113
1124	4	0.00113
1125	4	0.00113
1126	4	0.00113
1127	4	0.00113
1128	4	0.00113
1129	4	0.00113
1130	4	0.00113
1131	4	0.00113
1132	4	0.00113
1133	4	0.00113
1134	4	0.00113
1135	4	0.00113
1136	4	0.00113
1137	4	0.00113
1138	4	0.00113
1139	4	0.00113
1140	4	0.00113
1141	4	0.00113
1142	4	0.00113
1143	4	0.00113
1144	4	0.00113
1145	4	0.00113
1146	4	0.00113
1147	4	0.00113
1148	4	0.00113
1149	4	0.00113
1150	4	0.00113
1151	4	0.00113
1152	4	0.00113
1153	4	0.00113
1154	4	0.00113
1155	4	0.00113
1156	4	0.00113
1157	4	0.00113
1158	4	0.00113
1159	4	0.00113
1160	4	0.00113
1161	4	0.00113
1162	4	0.00113
1163	4	0.00113
1164	4	0.00113
1165	4	0.00113
1166	4	0.00113
1167	4	0.00113
1168	4	0.00113
1169	4	0.00113
1170	4	0.00113
1171	4	0.00113
1172	4	0.00113
1173	4	0.00113
1174	4	0.00113
1175	4	0.00113
1176	4	0.00113
1177	4	0.00113
1178	4	0.00113
1179	4	0.00113
1180	4	0.00113
1181	4	0.00113
1182	4	0.00113
1183	4	0.00113
1184	4	0.00113
1185	4	0.00113
1186	4	0.00113
1187	4	0.00113
1188	4	0.00113
1189	4	0.00113
1190	4	0.00113
1191	4	0.00113
1192	4	0.00113
1193	4	0.00113
1194	4	0.00113
1195	4	0.00113
1196	4	0.00113
1197	4	0.00113
1198	4	0.00113
1199	4	0.00113
1200	4	0.00113
1201	4	0.00113
1202	4	0.00113
1203	4	0.00113
1204	4	0.00113
1205	4	0.00113
1206	4	0.00113
1207	4	0.00113
1208	4	0.00113
1209	4	0.00113
1210	4	0.00113
1211	4	0.00113
1212	4	0.00113
1213	4	0.00113
1214	4	0.00113
1215	4	0.00113
1216	4	0.00113
1217	4	0.00113
1218	4	0.00113
1219	4	0.00113
1220	4	0.00113
1221	4	0.00113
1222	4	0.00113
1223	4	0.00113
1224	4	0.00113
1225	4	0.00113
1226	4	0.00113
1227	4	0.00113
1228	4	0.00113
1229	4	0.00113
1230	4	0.00113
1231	4	0.00113
1232	4	0.00113
1233	4	0.00113
1234	4	0.00113
1235	4	0.00113
1236	4	0.00113
1237	4	0.00113
1238	4	0.00113
1239	4	0.00113
1240	4	0.00113
1241	4	0.00113
1242	4	0.00113
1243	4	0.00113
1244	4	0.00113
1245	4	0.00113
1246	4	0.00113
1247	4	0.00113
1248	4	0.00113
1249	4	0.00113
1250	4	0.00113
1251	4	0.00113
1252	4	0.00113
1253	4	0.00113
1254	4	0.00113
1255	4	0.00113
1256	4	0.00113
1257	4	0.00113
1258	4	0.00113
1259	4	0.00113
1260	4	0.00113
1261	4	0.00113
1262	4	0.00113
1263	4	0.00113
1264	4	0.00113
1265	4	0.00113
1266	4	0.00113
1267	4	0.00113
1268	4	0.00113
1269	4	0.00113
1270	4	0.00113
1271	4	0.00113
1272	4	0.00113
1273	4	0.00113
1274	4	0.00113
1275	4	0.00113
1276	4	0.00113
1277	4	0.00113
1278	4	0.00113
1279	4	0.00113
1280	4	0.00113
1281	4	0.00113
1282	4	0.00113
1283	4	0.00113
1284	4	0.00113
1285	4	0.00113
1286	4	0.00113
1287	4	0.00113
1288	4	0.00113
1289	4	0.00113
1290	4	0.00113
1291	4	0.00113
1292	4	0.00113
1293	4	0.00113
1294	4	0.00113
1295	4	0.00113
1296	4	0.00113
1297	4	0.00113
1298	4	0.00113
1299	4	0.00113
1300	4	0.00113
1301	4	0.00113
1302	4	0.00113
1303	4	0.00113
1304	4	0.00113
1305	4	0.00113
1306	4	0.00113
1307	4	0.00113
1308	4	0.00113
1309	4	0.00113
1310	4	0.00113
1311	4	0.00113
1312	4	0.00113
1313	4	0.00113
1314	4	0.00113
1315	4	0.00113
1316	4	0.00113
1317	4	0.00113
1318	4	0.00113
1319	4	0.00113
1320	4	0.00113
1321	4	0.00113
1322	4	0.00113
1323	4	0.00113
1324	4	0.00113
1325	4	0.00113
1326	4	0.00113
1327	4	0.00113
1328	4	0.00113
1329	4	0.00113
1330	4	0.00113
1331	4	0.00113
1332	4	0.00113
1333	4	0.00113
1334	4	0.00113
1335	4	0.00113
1336	4	0.00113
1337	4	0.00113
1338	4	0.00113
1339	4	0.00113
1340	4	0.00113
1341	4	0.00113
1342	4	0.00113
1343	4	0.00113
1344	4	0.00113
1345	4	0.00113
1346	4	0.00113
1347	4	0.00113
1348	4	0.00113
